"chapter","sadness","joy","anger","disgust","surprise","trust","fear","anticipation","status__code","status__msg","status__credits","status__remaining_credits"
"60","10","9","6","8","3","23","1","6","","","",""
"61","3","8","1","5","1","12","3","3","","","",""
"62","10","10","8","7","3","10","6","1","","","",""
"63","14","10","4","3","2","3","9","3","","","",""
"64","20","20","6","12","4","17","","5","","","",""
"65","8","15","5","5","2","11","1","2","","","",""
"66","14","29","4","6","4","19","3","6","","","",""
"67","20","28","5","9","4","15","8","7","","","",""
"68","20","34","12","10","2","19","5","8","","","",""
"69","13","32","10","5","","11","4","6","","","",""
"70","8","22","10","2","1","18","","4","","","",""
"71","2","15","5","2","1","9","4","4","","","",""
"72","12","10","10","5","3","17","1","8","","","",""
"73","7","21","7","4","2","7","3","3","","","",""
"74","7","18","1","1","3","6","2","4","","","",""
"75","5","24","1","1","1","9","4","6","","","",""
"76","15","16","1","5","5","13","8","11","","","",""
"77","10","36","7","6","5","14","4","6","","","",""
"78","6","10","3","1","4","5","5","4","","","",""
"79","17","16","12","11","4","10","5","","","","",""
"80","1","6","1","","3","14","3","5","","","",""
"81","13","20","5","2","4","16","2","2","","","",""
"82","26","7","14","8","4","33","16","15","","","",""
"83","11","7","9","4","1","20","","6","","","",""
"84","11","13","10","10","10","9","12","7","","","",""
"85","19","17","15","13","3","11","6","","","","",""
"86","6","18","9","8","2","6","1","9","","","",""
"87","15","32","1","7","4","11","2","6","","","",""
"88","2","8","6","4","","9","1","8","","","",""
"89","5","21","3","1","1","17","3","11","","","",""
"90","9","35","2","1","4","25","1","10","","","",""
"91","19","24","7","5","7","12","3","9","","","",""
"92","5","8","9","4","1","12","4","13","","","",""
"93","9","14","9","7","5","16","","5","","","",""
"94","2","13","3","5","2","9","1","4","","","",""
"95","7","29","8","8","2","19","5","6","","","",""
"96","9","18","12","12","5","24","3","13","","","",""
"97","5","11","9","5","5","23","5","8","","","",""
"98","3","8","6","2","2","13","","10","","","",""
"99","7","4","6","3","1","9","3","8","","","",""
"100","16","22","9","7","6","12","7","3","","","",""
"101","8","10","10","4","6","10","5","4","","","",""
"102","6","13","9","5","3","6","4","6","","","",""
"103","6","1","2","4","5","4","6","4","","","",""
"104","13","26","19","13","10","21","7","9","","","",""
"105","15","2","12","7","3","7","11","8","","","",""
"106","13","17","14","5","3","26","2","8","","","",""
"107","7","19","5","3","4","19","2","3","","","",""
"108","2","18","1","7","1","8","1","4","","","",""
"109","9","20","4","5","1","18","1","8","","","",""
"110","11","34","3","3","5","12","6","10","","","",""
"111","11","6","11","3","3","18","1","11","","","",""
"112","3","12","1","4","","7","1","2","","","",""
"113","13","8","19","7","2","14","8","1","","","",""
